matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3030126378,58606,45247,10,2,1,0,2,1,1,0,0
BR1_3030048345,53832,41066,10,1,2,0,2,0,1,0,0
BR1_3030028889,54513,42042,10,1,2,0,1,2,1,0,0
BR1_3030007949,66265,73024,7,9,0,3,3,2,0,2,1
BR1_3029760914,63627,64615,4,7,0,1,2,2,0,1,1
BR1_3029710531,72564,80919,2,10,0,2,2,2,0,1,1
BR1_3029674741,63023,54783,9,3,1,0,2,1,1,0,0
BR1_3029295661,82215,81822,9,8,2,1,1,4,2,0,1
BR1_3029258548,65976,68642,6,9,0,1,3,1,0,2,1
BR1_3029183847,60845,57446,9,5,1,0,2,2,1,1,0
BR1_3028981924,49974,58352,3,9,0,2,0,4,0,1,1
BR1_3028963844,71075,75964,4,11,0,3,0,4,0,1,1
BR1_3028950597,62081,50439,9,1,1,0,1,4,1,0,0
BR1_3028685301,68258,71301,6,8,0,1,0,4,0,1,1
BR1_3028660428,35904,49005,1,9,0,1,0,2,0,0,1
BR1_3028616419,55187,63927,3,8,0,1,2,1,0,1,1
BR1_3028576307,85998,84403,8,7,1,1,2,3,1,1,0
BR1_3029813423,66506,65493,6,8,0,1,1,3,1,1,1
BR1_3029779417,53457,41653,11,0,3,0,2,1,1,0,0
BR1_3029696798,57484,48103,8,3,1,0,1,2,1,0,0
BR1_3029645797,45692,31600,10,1,2,0,2,0,0,0,0
BR1_3029599441,59167,64736,4,9,0,2,1,3,0,0,1
BR1_3029562518,61615,56492,8,2,1,0,3,1,0,1,0
BR1_3029549139,58244,51912,8,3,1,0,0,3,1,0,0
BR1_3029064496,47389,56425,3,8,0,2,0,3,0,1,1
BR1_3029036272,46381,36906,9,1,1,0,0,2,0,0,0
BR1_3028494113,65485,52312,9,3,1,0,2,1,1,0,0
BR1_3027359678,68209,80896,1,11,0,4,0,5,0,3,1
BR1_3027309929,77668,66516,11,6,3,0,2,0,2,0,0
BR1_3027169931,69405,73000,7,9,1,1,4,0,1,1,1
BR1_3027137131,53331,36436,10,0,2,0,2,1,0,0,0
BR1_3026937114,67693,75200,6,9,0,1,2,3,0,1,1
BR1_3026841849,48611,57208,1,9,0,1,1,2,0,1,1
BR1_3026761556,77648,78109,9,8,2,2,4,1,0,2,0
BR1_3026741419,33800,46175,0,8,0,1,1,1,0,0,1
BR1_3026722259,64064,53291,11,4,1,0,1,2,1,0,0
BR1_3026701987,61827,71337,5,10,0,2,2,3,0,2,1
BR1_3026680891,58060,44147,11,2,3,0,3,0,1,0,0
BR1_3026662310,66162,58295,9,5,1,0,4,1,1,0,0
BR1_3026639900,66388,70426,4,9,0,1,1,3,1,0,1
BR1_3026623882,46383,34412,9,0,1,0,0,1,0,0,0
BR1_3026220750,50514,66065,2,11,0,1,2,2,0,1,1
BR1_3030451667,87627,82396,10,8,1,2,4,2,2,1,0
BR1_3030431259,71507,57285,11,4,3,0,4,0,1,0,0
BR1_3030396601,64280,57344,9,4,1,0,1,3,1,0,0
BR1_3030372941,49594,60419,3,11,0,3,2,0,0,1,1
BR1_3030284879,65754,57051,11,2,5,0,1,0,2,0,0
BR1_3030214552,71808,74376,7,8,1,1,1,4,0,2,1
BR1_3030187466,72924,75314,8,10,2,2,2,3,1,1,1
BR1_3030149406,48947,60906,3,11,0,3,0,1,0,1,1
BR1_3030048345,53832,41066,10,1,2,0,2,0,1,0,0
BR1_3030028889,54513,42042,10,1,2,0,1,2,1,0,0
BR1_3029915773,55255,46878,8,3,1,0,2,2,1,0,0
BR1_3029897739,58573,53126,10,4,2,0,1,2,1,0,0
BR1_3029831826,60431,50656,11,2,3,0,4,0,1,0,0
BR1_3029760914,63627,64615,4,7,0,1,2,2,0,1,1
BR1_3029731315,55134,40687,9,2,1,0,3,0,0,0,0
BR1_3029657806,65119,57074,10,3,2,0,2,1,1,0,0
BR1_3029632277,78236,74169,11,5,4,0,5,1,1,2,0
BR1_3029610401,61008,45620,11,2,2,0,3,0,1,0,0
BR1_3029567543,57934,63984,3,8,0,1,0,4,0,0,1
BR1_3029549139,58244,51912,8,3,1,0,0,3,1,0,0
BR1_3029522545,87229,78846,11,9,2,2,2,4,2,0,0
BR1_3029393496,55210,63993,4,9,0,1,1,2,0,1,1
BR1_3029350175,68049,58095,11,3,3,0,2,2,1,0,0
BR1_3029318619,73171,63553,10,6,2,0,2,2,2,0,0
BR1_3029286276,44942,33175,10,2,2,0,2,0,0,0,0
BR1_3029244970,55588,67085,4,11,0,2,1,3,0,1,1
BR1_3029195612,65645,57493,9,5,1,0,1,2,1,0,0
BR1_3029079714,44588,51232,3,8,0,1,1,1,0,1,1
BR1_3030130745,46799,55543,2,10,0,2,0,3,0,1,1
BR1_3030104591,61557,52015,9,3,1,0,1,1,1,0,0
BR1_3029674741,63023,54783,9,3,1,0,2,1,1,0,0
BR1_3029655679,50773,37450,9,0,1,0,1,0,0,0,0
BR1_3029615018,67368,63056,8,5,1,1,1,2,1,1,0
BR1_3029546242,59714,68525,3,9,0,1,1,3,0,1,1
BR1_3029480989,79335,74457,10,6,3,0,1,2,0,1,0
BR1_3029471911,51712,39223,9,3,1,0,1,0,0,0,0
BR1_3029344197,63908,54828,11,5,3,0,1,2,1,0,0
BR1_3029105372,50308,61107,3,11,0,2,0,4,0,1,1
